concept_code,target_concept_code,concept_tier,target_tier,n11,n10,n01,n00,support_both,odds_ratio,log_odds_ratio,phi,p_target_given_code,p_target_given_no_code,n_code_before_target_final,n_target_before_code_final
30183-states_specify-45,31346-past12mo_tech-5,2,2,1,0,177,493,0.0014903129657228018,8.340845070422535,2.1211645386261755,0.06429483070779293,1.0,0.26417910447761195,0,177
30183-states_specify-45,31346-past12mo_tech-6,2,2,0,1,50,620,0.0,4.095709570957096,1.409939979695238,-0.01096230297098947,0.0,0.07462686567164178,1,50
30183-states_specify-45,31346-past12mo_tech-998,2,2,0,1,110,560,0.0,1.6907993966817496,0.5252014328862974,-0.017107143980890235,0.0,0.16417910447761194,1,110
30183-states_specify-45,31346-past12mo_tech-999,2,2,0,1,6,664,0.0,34.07692307692308,3.528620412583599,-0.0036696732928267247,0.0,0.008955223880597015,1,6
30183-states_specify-45,31350-healthdevice_type-1,2,2,0,1,16,654,0.0,13.222222222222221,2.58189891577531,-0.006038122782814547,0.0,0.023880597014925373,1,16
30183-states_specify-45,31350-healthdevice_type-2,2,2,0,1,17,653,0.0,12.447619047619048,2.5215293634666986,-0.006228711060939498,0.0,0.025373134328358207,1,17
30183-states_specify-45,31350-healthdevice_type-3,2,2,0,1,5,665,0.0,40.333333333333336,3.6971782569286313,-0.003347422155305796,0.0,0.007462686567164179,1,5
30183-states_specify-45,31350-healthdevice_type-4,2,2,0,1,5,665,0.0,40.333333333333336,3.6971782569286313,-0.003347422155305796,0.0,0.007462686567164179,1,5
30183-states_specify-45,31350-healthdevice_type-5,2,2,0,1,5,665,0.0,40.333333333333336,3.6971782569286313,-0.003347422155305796,0.0,0.007462686567164179,1,5
30183-states_specify-45,31350-healthdevice_type-6,2,2,0,1,2,668,0.0,89.13333333333334,4.490133375999733,-0.0021123434753717724,0.0,0.0029850746268656717,1,2
30183-states_specify-45,31350-healthdevice_type-999,2,2,0,1,1,669,0.0,148.77777777777777,5.002453768354953,-0.0014925373134328358,0.0,0.0014925373134328358,1,1
30183-states_specify-45,31356-past12_recommended-1,2,2,0,1,408,262,0.0,0.2141982864137087,-1.5408531209364889,-0.0481188019614744,0.0,0.608955223880597,1,408
30183-states_specify-45,31356-past12_recommended-2,2,2,0,1,266,404,0.0,0.5059412132582864,-0.6813347957754625,-0.03130948364878313,0.0,0.3970149253731343,1,266
30183-states_specify-45,31356-past12_recommended-3,2,2,0,1,157,513,0.0,1.0867724867724868,0.08321228243481553,-0.021351621659448723,0.0,0.23432835820895523,1,157
30183-states_specify-45,31356-past12_recommended-4,2,2,0,1,285,385,0.0,0.4500875656742557,-0.7983131247607904,-0.03319642960733132,0.0,0.4253731343283582,1,285
30183-states_specify-45,31356-past12_recommended-998,2,2,1,0,102,568,0.0014903129657228018,16.639024390243904,2.811750803280238,0.09072315693456279,1.0,0.15223880597014924,0,102
30183-states_specify-45,31356-past12_recommended-999,2,2,0,1,13,657,0.0,16.234567901234566,2.787142789939426,-0.0054302688020346525,0.0,0.019402985074626865,1,13
30183-states_specify-45,31386-covid_results-1,2,2,0,1,34,636,0.0,6.14975845410628,1.8164128052920374,-0.008925495615850461,0.0,0.050746268656716415,1,34
30183-states_specify-45,31386-covid_results-2,2,2,1,0,632,38,0.0014903129657228018,0.1826086956521739,-1.7004096906398272,0.00946569576856418,1.0,0.9432835820895522,0,632
30183-states_specify-45,31386-covid_results-3,2,2,0,1,5,665,0.0,40.333333333333336,3.6971782569286313,-0.003347422155305796,0.0,0.007462686567164179,1,5
30183-states_specify-45,31386-covid_results-4,2,2,0,1,0,670,0.0,447.0,6.102558594613569,,0.0,0.0,1,0
30183-states_specify-45,31386-covid_results-5,2,2,0,1,11,659,0.0,19.115942028985508,2.9505226481200553,-0.004987546680538164,0.0,0.016417910447761194,1,11
30183-states_specify-45,31386-covid_results-999,2,2,0,1,4,666,0.0,49.370370370370374,3.8993504541743795,-0.0029917801567534742,0.0,0.005970149253731343,1,4
30183-states_specify-45,31393-join_why-1,2,2,1,0,344,326,0.0014903129657228018,2.8432510885341076,1.0449481469308823,0.03755448849759832,1.0,0.5134328358208955,0,344
30183-states_specify-45,31393-join_why-2,2,2,1,0,463,207,0.0014903129657228018,1.343042071197411,0.2949372433329528,0.025804103851998716,1.0,0.691044776119403,0,463
30183-states_specify-45,31393-join_why-3,2,2,1,0,365,305,0.0014903129657228018,2.5075239398084817,0.9192957880899265,0.035267280792929914,1.0,0.5447761194029851,0,365
30183-states_specify-45,31393-join_why-4,2,2,0,1,229,441,0.0,0.6412490922294843,-0.4443372981246949,-0.027807964807466615,0.0,0.3417910447761194,1,229
30183-states_specify-45,31393-join_why-5,2,2,0,1,368,302,0.0,0.2736318407960199,-1.295971722826605,-0.04257603299147732,0.0,0.5492537313432836,1,368
30183-states_specify-45,31393-join_why-6,2,2,1,0,293,377,0.0014903129657228018,3.8586030664395228,1.3503052180890378,0.04374814154125332,1.0,0.4373134328358209,0,293
30183-states_specify-45,31393-join_why-7,2,2,0,1,11,659,0.0,19.115942028985508,2.9505226481200553,-0.004987546680538164,0.0,0.016417910447761194,1,11
30183-states_specify-45,31393-join_why-8,2,2,0,1,0,670,0.0,447.0,6.102558594613569,,0.0,0.0,1,0
30183-states_specify-45,31393-join_why-9,2,2,0,1,10,660,0.0,20.96825396825397,3.0430095781307926,-0.004751840655283463,0.0,0.014925373134328358,1,10
30183-states_specify-45,31393-join_why-999,2,2,0,1,1,669,0.0,148.77777777777777,5.002453768354953,-0.0014925373134328358,0.0,0.0014925373134328358,1,1
30183-states_specify-45,31396-join_hear-1,2,2,0,1,213,457,0.0,0.7142857142857143,-0.3364722366212129,-0.026346301736659618,0.0,0.31791044776119404,1,213
30183-states_specify-45,31396-join_hear-2,2,2,1,0,309,361,0.0014903129657228018,3.504038772213247,1.2539162381422782,0.041690331908909195,1.0,0.46119402985074626,0,309
30183-states_specify-45,31396-join_hear-3,2,2,0,1,38,632,0.0,5.476190476190476,1.7004096906398272,-0.00946569576856418,0.0,0.056716417910447764,1,38
30183-states_specify-45,31396-join_hear-4,2,2,0,1,16,654,0.0,13.222222222222221,2.58189891577531,-0.006038122782814547,0.0,0.023880597014925373,1,16
30183-states_specify-45,31396-join_hear-5,2,2,0,1,16,654,0.0,13.222222222222221,2.58189891577531,-0.006038122782814547,0.0,0.023880597014925373,1,16
30183-states_specify-45,31396-join_hear-6,2,2,0,1,134,536,0.0,1.3296158612143743,0.2848900743607497,-0.019298691110661622,0.0,0.2,1,134
30183-states_specify-45,31396-join_hear-7,2,2,0,1,35,635,0.0,5.967136150234742,1.786267105480029,-0.009062918259283183,0.0,0.05223880597014925,1,35
30183-states_specify-45,31396-join_hear-999,2,2,0,1,1,669,0.0,148.77777777777777,5.002453768354953,-0.0014925373134328358,0.0,0.0014925373134328358,1,1
30183-states_specify-45,31405-skipped_why-1,2,2,0,1,10,660,0.0,20.96825396825397,3.0430095781307926,-0.004751840655283463,0.0,0.014925373134328358,1,10
30183-states_specify-45,31405-skipped_why-2,2,2,0,1,22,648,0.0,9.607407407407408,2.2625344058780144,-0.007112980050661823,0.0,0.03283582089552239,1,22
30183-states_specify-45,31405-skipped_why-3,2,2,0,1,15,655,0.0,14.096774193548388,2.645945990610444,-0.005841929457710062,0.0,0.022388059701492536,1,15
