concept_code,target_concept_code,n_code_target
31346-past12mo_tech-3,31405-skipped_why-4,228
30154-Symptoms_Resp-1,31393-join_why-3,228
31405-skipped_why-4,31346-past12mo_tech-3,228
31344-devices_own-1,31356-past12_recommended-2,227
30156-Symptom_GI-1,31393-join_why-6,227
31393-join_why-6,30156-Symptom_GI-1,227
31346-past12mo_tech-3,31344-devices_own-3,227
31344-devices_own-3,31346-past12mo_tech-3,227
bin_32136-vaccine_didyou,31356-past12_recommended-2,227
31356-past12_recommended-2,31344-devices_own-1,227
bin_30171-COVID_vaccine,31356-past12_recommended-2,227
31344-devices_own-3,31346-past12mo_tech-2,226
31346-past12mo_tech-2,31344-devices_own-3,226
31346-past12mo_tech-2,31405-skipped_why-4,225
31405-skipped_why-4,31346-past12mo_tech-2,225
31393-join_why-1,30154-Symptoms_Resp-1,225
30154-Symptoms_Resp-1,31393-join_why-1,225
31393-join_why-6,31393-join_why-2,223
31346-past12mo_tech-1,31393-join_why-1,223
31393-join_why-1,31346-past12mo_tech-1,223
bin_30170-Flu_shot,31344-devices_own-1,223
31393-join_why-2,31393-join_why-6,223
30103-conditionsrisks-20,bin_30107-alcohol_consume,222
bin_30107-alcohol_consume,30103-conditionsrisks-20,222
bin_age_40plus,30086-Gender-2,222
30086-Gender-2,bin_age_40plus,222
31393-join_why-2,30103-conditionsrisks-20,221
30156-Symptom_GI-1,31356-past12_recommended-4,221
30160-Symptom_Inflamm-1,31346-past12mo_tech-3,221
31346-past12mo_tech-3,30160-Symptom_Inflamm-1,221
30153-Symptoms-1,31393-join_why-6,221
30082-Race-1,31393-join_why-5,221
31356-past12_recommended-4,30156-Symptom_GI-1,221
31393-join_why-6,30153-Symptoms-1,221
30103-conditionsrisks-20,31393-join_why-2,221
31346-past12mo_tech-2,30160-Symptom_Inflamm-1,220
bin_age_40plus,30158-Symtpom_Neuro-1,220
31393-join_why-4,31386-covid_results-2,220
30160-Symptom_Inflamm-1,31346-past12mo_tech-2,220
31396-join_hear-2,30154-Symptoms_Resp-1,219
31393-join_why-2,31396-join_hear-2,219
30103-conditionsrisks-20,30154-Symptoms_Resp-1,219
31346-past12mo_tech-1,31344-devices_own-2,219
30154-Symptoms_Resp-1,30103-conditionsrisks-20,219
bin_36096-Post_covidvaccine,31405-skipped_why-4,219
31344-devices_own-2,31346-past12mo_tech-1,219
30154-Symptoms_Resp-1,31396-join_hear-2,219
31356-past12_recommended-2,31356-past12_recommended-1,219
31356-past12_recommended-1,31356-past12_recommended-2,219
31396-join_hear-2,31393-join_why-2,219
30158-Symtpom_Neuro-1,31344-devices_own-2,218
bin_36096-Post_covidvaccine,31386-covid_results-2,218
31344-devices_own-2,30158-Symtpom_Neuro-1,218
bin_36096-Post_covidvaccine,31344-devices_own-3,217
31393-join_why-4,31344-devices_own-3,216
31405-skipped_why-4,31393-join_why-4,216
31393-join_why-4,31405-skipped_why-4,216
30086-Gender-2,31356-past12_recommended-4,216
31344-devices_own-3,31393-join_why-4,216
30086-Gender-2,31344-devices_own-2,215
bin_age_40plus,31344-devices_own-1,214
30086-Gender-2,bin_30170-Flu_shot,214
bin_30107-alcohol_consume,31393-join_why-1,213
31393-join_why-1,bin_30107-alcohol_consume,213
31346-past12mo_tech-1,31393-join_why-6,212
31393-join_why-6,31346-past12mo_tech-1,212
30153-Symptoms-1,31356-past12_recommended-4,212
31356-past12_recommended-4,30153-Symptoms-1,212
30103-conditionsrisks-20,31346-past12mo_tech-1,211
30082-Race-1,30103-conditionsrisks-20,211
30166-Prev_exposure-1,31356-past12_recommended-2,211
31356-past12_recommended-2,30166-Prev_exposure-1,211
31346-past12mo_tech-1,30103-conditionsrisks-20,211
31346-past12mo_tech-1,31346-past12mo_tech-2,210
31346-past12mo_tech-2,31346-past12mo_tech-1,210
31346-past12mo_tech-1,31356-past12_recommended-2,210
31356-past12_recommended-1,31393-join_why-1,210
bin_age_40plus,30154-Symptoms_Resp-1,210
31356-past12_recommended-2,31346-past12mo_tech-1,210
31393-join_why-1,31356-past12_recommended-1,210
bin_30171-COVID_vaccine,31346-past12mo_tech-2,209
31393-join_why-6,30158-Symtpom_Neuro-1,208
30156-Symptom_GI-1,31356-past12_recommended-2,208
31396-join_hear-1,31386-covid_results-2,208
30086-Gender-2,31393-join_why-6,208
31356-past12_recommended-2,30156-Symptom_GI-1,208
30158-Symtpom_Neuro-1,31393-join_why-6,208
31393-join_why-2,31344-devices_own-2,207
bin_36096-Post_covidvaccine,30160-Symptom_Inflamm-1,207
31344-devices_own-2,31393-join_why-2,207
31393-join_why-6,31393-join_why-3,206
bin_32136-vaccine_didyou,31346-past12mo_tech-2,206
30160-Symptom_Inflamm-1,31396-join_hear-1,205
31396-join_hear-1,30160-Symptom_Inflamm-1,205
31393-join_why-6,31393-join_why-5,204
30158-Symtpom_Neuro-1,31356-past12_recommended-4,204
31344-devices_own-2,30154-Symptoms_Resp-1,204
31393-join_why-2,31356-past12_recommended-2,204
31356-past12_recommended-4,30158-Symtpom_Neuro-1,204
31356-past12_recommended-2,31393-join_why-2,204
30154-Symptoms_Resp-1,31344-devices_own-2,204
31393-join_why-5,31393-join_why-6,204
31396-join_hear-1,31344-devices_own-3,204
31344-devices_own-3,31396-join_hear-1,204
31396-join_hear-2,bin_30107-alcohol_consume,203
bin_30171-COVID_vaccine,31346-past12mo_tech-3,203
31346-past12mo_tech-2,31344-devices_own-1,203
bin_30107-alcohol_consume,31396-join_hear-2,203
31344-devices_own-1,31346-past12mo_tech-2,203
30160-Symptom_Inflamm-1,31393-join_why-4,202
